Date,Open,High,Low,Close,Adj Close,Volume
2020-11-06,64.160004,65.120003,63.680000,64.720001,64.563736,10515688
2020-11-09,74.800003,75.279999,68.879997,69.760002,69.591568,24160338
2020-11-10,70.559998,72.800003,70.000000,71.839996,71.666542,20591700
2020-11-11,72.879997,72.959999,70.639999,71.120003,70.948280,10930000
2020-11-12,70.080002,70.959999,69.360001,70.080002,69.910789,9939800
2020-11-13,70.879997,74.000000,70.800003,74.000000,73.821327,16247538
2020-11-16,76.879997,77.120003,75.360001,76.559998,76.375145,14846500
2020-11-17,75.599998,77.919998,74.639999,77.440002,77.253021,11293575
2020-11-18,79.760002,80.400002,77.839996,77.839996,77.652054,18608225
2020-11-19,76.959999,78.080002,76.080002,77.279999,77.093407,10897188
2020-11-20,77.120003,78.639999,76.720001,78.080002,77.891479,10016938
2020-11-23,78.879997,82.160004,78.879997,80.559998,80.365486,13524663
2020-11-24,85.680000,86.800003,83.199997,83.599998,83.398148,22036100
2020-11-25,84.239998,84.480003,82.720001,84.000000,83.797188,13734113
2020-11-27,84.400002,84.480003,82.480003,83.199997,82.999107,6769350
2020-11-30,83.120003,83.120003,79.680000,81.440002,81.243370,15638013
2020-12-01,82.639999,83.839996,80.879997,81.199997,81.003944,10845888
2020-12-02,80.639999,83.839996,80.080002,83.440002,83.238533,9654450
2020-12-03,83.199997,85.599998,83.120003,84.800003,84.595261,11431613
2020-12-04,85.360001,87.440002,84.080002,87.040001,86.829849,16877613
2020-12-07,87.120003,88.800003,86.080002,86.879997,86.670227,12175500
2020-12-08,86.559998,88.239998,86.320000,87.680000,87.468300,11672288
2020-12-09,88.000000,91.919998,88.000000,91.120003,90.899994,15766938
2020-12-10,88.639999,91.839996,88.480003,90.559998,90.341347,11958950
2020-12-11,90.239998,91.279999,88.160004,89.279999,89.064430,11123213
2020-12-14,90.160004,90.800003,86.320000,86.639999,86.430801,9914688
2020-12-15,87.599998,89.199997,85.199997,88.879997,88.665398,10826738
2020-12-16,89.040001,89.199997,87.199997,87.440002,87.228882,7351975
2020-12-17,87.519997,87.919998,86.400002,87.040001,86.829849,7805750
2020-12-18,86.239998,88.959999,85.919998,86.480003,86.350563,14344200
2020-12-21,83.760002,86.959999,82.879997,86.160004,86.031036,10727338
2020-12-22,85.680000,86.080002,83.919998,84.879997,84.752953,11125938
2020-12-23,85.440002,87.839996,84.959999,86.879997,86.749962,7563063
2020-12-24,86.800003,86.800003,84.959999,85.199997,85.072472,3756213
2020-12-28,85.599998,86.239998,84.639999,85.120003,84.992599,6724588
2020-12-29,85.279999,86.160004,84.320000,84.480003,84.353561,6629488
2020-12-30,84.639999,86.800003,84.400002,85.680000,85.551758,6327625
2020-12-31,85.199997,86.639999,84.639999,86.400002,86.270676,5962788
2021-01-04,87.120003,87.199997,83.199997,83.760002,83.634628,9993688
2021-01-05,83.440002,87.040001,83.360001,86.160004,86.031036,10462538
2021-01-06,86.639999,92.959999,86.639999,90.879997,90.743973,16448075
2021-01-07,92.480003,92.559998,89.919998,90.160004,90.025055,9411225
2021-01-08,90.320000,91.519997,89.279999,90.720001,90.584213,9089963
2021-01-11,88.879997,92.239998,88.480003,91.599998,91.462891,8406700
2021-01-12,92.080002,95.279999,91.279999,94.239998,94.098946,11429913
2021-01-13,94.239998,94.559998,92.160004,92.559998,92.421455,6714200
2021-01-14,92.879997,93.839996,92.639999,93.279999,93.140381,7401188
2021-01-15,92.800003,92.800003,90.000000,90.639999,90.504333,9201188
2021-01-19,91.839996,93.199997,91.199997,91.440002,91.303139,7937425
2021-01-20,92.000000,92.000000,90.400002,91.120003,90.983620,7376988
2021-01-21,91.199997,91.440002,88.559998,88.559998,88.427444,8200338
2021-01-22,87.760002,89.440002,87.199997,88.879997,88.746964,6614925
2021-01-25,89.120003,89.199997,86.160004,87.919998,87.788406,11502613
2021-01-26,96.239998,97.839996,89.599998,90.320000,90.184814,26475425
2021-01-27,88.639999,92.480003,85.120003,91.040001,90.903740,18679988
2021-01-28,91.279999,91.760002,88.559998,88.720001,88.587204,11762413
2021-01-29,88.000000,89.919998,85.360001,85.440002,85.312119,13657350
2021-02-01,86.879997,88.000000,85.120003,85.919998,85.791397,8335725
2021-02-02,87.040001,90.800003,86.720001,89.919998,89.785416,10558238
2021-02-03,89.919998,90.400002,88.559998,89.599998,89.465881,6776850
2021-02-04,89.839996,92.000000,89.519997,91.599998,91.462891,8345975
2021-02-05,92.080002,92.400002,90.559998,91.199997,91.063492,6477300
2021-02-08,91.760002,93.199997,91.279999,92.879997,92.740974,5306813
2021-02-09,92.480003,92.800003,91.279999,92.320000,92.181816,6592288
2021-02-10,92.720001,92.720001,91.040001,91.199997,91.063492,5694988
2021-02-11,91.120003,91.760002,89.519997,91.680000,91.542778,6478650
2021-02-12,91.279999,93.919998,91.040001,93.839996,93.699539,7304963
2021-02-16,94.559998,95.839996,94.239998,95.760002,95.616669,7539000
2021-02-17,94.720001,95.599998,94.080002,94.879997,94.737984,5367513
2021-02-18,94.720001,94.879997,92.080002,93.040001,92.900742,6106825
2021-02-19,93.760002,96.239998,93.440002,96.160004,96.016075,7631125
2021-02-22,96.559998,101.599998,96.239998,100.000000,99.850327,12079538
2021-02-23,100.800003,101.199997,97.440002,100.720001,100.569244,9005313
2021-02-24,102.400002,106.800003,101.199997,104.959999,104.802895,13348875
2021-02-25,104.800003,106.160004,101.279999,102.080002,101.927208,11542163
2021-02-26,101.440002,102.720001,99.279999,100.320000,100.169846,11091225
2021-03-01,103.360001,106.320000,102.320000,104.879997,104.723015,9754700
2021-03-02,105.199997,106.000000,103.760002,103.839996,103.684570,9650675
2021-03-03,104.720001,108.959999,104.400002,107.519997,107.359062,14696538
2021-03-04,111.040001,113.040001,105.440002,108.559998,108.397514,20820213
2021-03-05,110.400002,110.480003,105.120003,108.800003,108.717270,13121938
2021-03-08,113.680000,114.720001,110.480003,113.360001,113.273796,17964700
2021-03-09,112.800003,115.360001,110.639999,112.000000,111.914833,14308463
2021-03-10,109.199997,109.919998,103.360001,106.000000,105.919395,27528800
2021-03-11,101.519997,102.879997,95.599998,98.160004,98.085358,38225663
2021-03-12,97.919998,100.959999,97.839996,100.639999,100.563469,16818988
2021-03-15,101.919998,106.879997,101.839996,106.800003,106.718788,13925313
